Foto,Nome,Costo primo,Costo wholesale,Costo retail,Categoria,Tipologia
,Aura,600€,1.300€,2800,Magna Grecia ,
,Lyra,1100,2.400€,5.000€,Red Carpet,
,Iris,850€,1.750€,3.700€,Mediterranea,
,Musa,600€,1.300€,2.700€,Magna Grecia ,
,Alba ,600€,1.300€,2.700€,Red Carpet,
,Lune,1.200€,2.500€,5.000€,Red Carpet,
,Soul,950€,2.100€,4.200€,Magna Grecia  ,
,Aria,860€,1.900€,4.100€,Mediterranea,
,Diva ,1.500€,3.500€,7.500€,Red Carpet,
,Icon,1.200€,2.500€,5.500€,Red Carpet,
,Ritual,1.000€,2.200€,4.500€,Red Carpet,
,Noir,850€,1.850€,4.200€,Red Carpet,
,Essenza,1.200€,2500,5.550€,Red Carpet,
,Divina,600€,1.350€,2.950€,Magna Grecia ,
,Silente ,850€,1.750€,3.700€,Red Carpet ,
,Elios,600€,1.300€,2.700€,Magna Grecia ,
,Dorea,600€,1.300€,2.800€,Red Carpet ,
,Incanto,600€,1.350€,2.950€,Magna Grecia ,
